Player Name,Position,College,consensus,beast_grade,br_article_grade,br_pro_comparison,p_real_contract,p_practice_only,p_out_of_league,sc_prediction,p_mocked_higher,p_mocked_near_consensus,p_mocked_lower,draft_prediction,text_source,has_br,has_pff
Evan Beerntsen,IOL,Northwestern,291,5th-6th round,,,7.2,68.3,24.5,practice_only,54.7,17.3,27.9,mocked_higher,beast,False,False
Jalon Daniels,QB,Kansas,292,Free Agent,,,15.6,48.4,36.0,practice_only,15.8,3.9,80.2,mocked_lower,beast,False,False
Behren Morton,QB,Texas Tech,294,Free Agent,,,22.1,60.6,17.3,practice_only,18.8,2.9,78.3,mocked_lower,beast,False,False
Patrick Payton,EDGE,LSU,295,Free Agent,,,22.9,30.9,46.2,out_of_league,21.1,4.4,74.5,mocked_lower,beast,False,False
Marcus Allen,CB,North Carolina,296,7th round-​,,,28.8,28.7,42.5,out_of_league,79.6,1.4,19.0,mocked_higher,beast,False,False
Rahsul Faison,RB,South Carolina,297,7th round-​,,,10.3,63.4,26.2,practice_only,29.8,10.2,60.0,mocked_lower,beast,False,False
RJ Maryland,TE,SMU,298,7th round-​,,,7.4,38.3,54.3,out_of_league,59.8,5.7,34.6,mocked_higher,beast,False,False
CJ Donaldson,RB,Ohio State,299,Free Agent,,,5.3,44.8,49.9,out_of_league,12.4,1.9,85.7,mocked_lower,beast,False,False
Lewis Bond,WR,Boston College,300,7th round-​,6.55 (Role Player/Part-Time Contributor — 4th Round),K.J. Osborn,30.4,46.1,23.5,practice_only,18.2,9.0,72.8,mocked_lower,beast,True,False
Carsen Ryan,TE,BYU,302,5th-6th round,,,29.1,68.4,2.5,practice_only,26.0,26.0,48.1,mocked_lower,beast,False,False
Haynes King,QB,Georgia Tech,303,6th-7th round,,,37.4,41.9,20.6,practice_only,9.7,55.1,35.2,mocked_near_consensus,beast,False,False
Caullin Lacy,WR,Louisville,304,Free Agent,,,7.9,81.2,10.9,practice_only,11.1,1.6,87.3,mocked_lower,beast,False,False
Bobby Jamison-Travis,DL,Auburn,305,Free Agent,,,0.5,45.7,53.9,out_of_league,30.2,1.9,67.9,mocked_lower,beast,False,False
Emmanuel Henderson,WR,Kansas,306,7th round-​,,,13.2,36.4,50.4,out_of_league,72.8,2.4,24.8,mocked_higher,beast,False,False
Ahmaad Moses,S,SMU,307,7th round-Free,,,27.2,37.2,35.6,practice_only,47.0,3.9,49.1,mocked_lower,beast,False,False
Karson Sharar,LB,Iowa,308,7th round,,,12.8,62.2,25.0,practice_only,87.4,0.8,11.8,mocked_higher,beast,False,False
Keyshawn James-Newby,EDGE,New Mexico,309,Free Agent,,,13.2,54.0,32.8,practice_only,15.5,6.9,77.6,mocked_lower,beast,False,False
Shadrach Banks,LB,UTSA,310,Free Agent,,,7.8,69.1,23.0,practice_only,5.7,4.2,90.2,mocked_lower,beast,False,False
Joshua Braun,IOL,Kentucky,311,7th round-​,,,5.6,44.7,49.6,out_of_league,14.7,6.8,78.4,mocked_lower,beast,False,False
Xavier Nwankpa,S,Iowa,312,7th round-Free,6.8 (Role Player/Part-Time Contributor - Fourth Round),Bryan Cook,23.8,43.3,32.9,practice_only,36.5,9.1,54.3,mocked_lower,beast,True,False
Nyjalik Kelly,EDGE,UCF,314,7th round-​,,,17.1,46.9,36.0,practice_only,35.3,13.2,51.5,mocked_lower,beast,False,False
Dan Villari,TE,Syracuse,315,Free Agent,,,6.1,63.7,30.2,practice_only,7.9,3.2,88.9,mocked_lower,beast,False,False
Marvin Jones,EDGE,Oklahoma,316,Free Agent,,,5.1,41.5,53.4,out_of_league,7.9,17.7,74.4,mocked_lower,beast,False,False
